squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
SAS,Muric,p,7.0,32,4.81,6.13,0.5,0.4,-41.1,29.0,29.1,9.0,8.0,7.0,37.0
SAS,Idzes,d,7.0,35,5.81,5.82,0.4,0.7,0.0,26.8,25.0,9.0,8.0,7.0,37.0
SAS,Volpato,c,7.0,21,6.2,5.93,1.6,1.7,5.5,21.2,13.4,6.0,8.0,7.0,36.0
SAS,Matic,c,5.0,34,5.94,5.87,1.0,0.9,1.3,20.0,19.5,8.0,8.0,7.0,35.0
SAS,Adzic,c,5.0,4,6.03,5.98,0.5,0.5,1.5,12.1,6.3,6.0,8.0,6.0,32.0
SAS,Bakola,c,5.0,3,5.98,5.83,0.5,0.7,1.4,16.3,11.7,6.0,8.0,7.0,34.0
SAS,Walukiewicz,d,4.0,34,5.69,5.75,0.2,0.8,0.3,22.2,21.8,6.0,7.0,5.0,28.0
SAS,Doig,d,4.0,27,5.77,5.83,0.6,0.8,0.3,20.9,16.2,7.0,7.0,6.0,32.0
SAS,Candè,d,3.0,8,5.69,5.65,0.2,0.4,0.1,11.9,7.6,7.0,7.0,6.0,31.0
SAS,Boloca,c,2.0,2,5.68,5.67,0.3,0.4,0.1,10.0,10.0,3.0,6.0,3.0,23.0
SAS,Lipani,c,2.0,21,5.92,5.85,0.9,0.7,1.2,18.0,14.6,7.0,8.0,7.0,34.0
SAS,Turati,p,1.0,6,4.94,6.2,0.1,0.3,-17.2,14.3,13.2,3.0,8.0,3.0,26.0
SAS,Iannoni,c,1.0,5,5.86,5.79,0.6,0.6,1.1,9.7,6.6,,,,
SAS,Moro L.,a,1.0,6,5.83,5.68,0.6,0.5,1.3,10.1,5.2,4.0,8.0,4.0,25.0
TOR,Simeone,a,15.0,32,6.62,5.99,7.3,2.8,20.7,28.3,22.0,8.0,8.0,9.0,40.0
TOR,Vlasic,c,14.0,37,6.5,6.02,3.5,3.0,12.7,30.8,24.6,8.0,8.0,8.0,40.0
TOR,Casadei,c,10.0,32,6.21,5.96,2.1,1.5,7.2,24.3,19.6,8.0,7.0,7.0,37.0
TOR,Adams C.,a,9.0,32,6.4,5.95,3.5,1.8,12.9,24.1,15.3,7.0,8.0,7.0,37.0
TOR,Coco,d,7.0,35,5.85,5.86,1.0,0.7,0.8,29.4,28.6,8.0,8.0,6.0,34.0
TOR,Ismajli,d,7.0,24,5.8,5.82,0.4,0.4,-0.1,21.3,16.5,,,,
TOR,Oristanio,c,7.0,18,6.12,5.89,1.6,0.8,4.9,19.1,12.0,6.0,8.0,6.0,33.0
TOR,Zapata D.,a,7.0,23,6.4,6.02,3.5,2.6,14.3,19.6,11.8,6.0,6.0,7.0,35.0
TOR,Comuzzo,d,6.0,24,5.71,5.78,0.6,0.4,0.3,20.4,18.6,8.0,8.0,7.0,35.0
TOR,Pedersen,d,5.0,28,5.87,5.81,0.9,1.3,1.7,19.7,14.6,8.0,8.0,7.0,35.0
TOR,Gineitis,c,5.0,27,5.91,5.86,1.0,1.3,2.2,21.3,17.0,6.0,8.0,7.0,33.0
TOR,Ilkhan,c,4.0,17,6.0,5.85,1.0,0.8,2.3,16.9,12.6,5.0,8.0,6.0,30.0
